Key	Korean	English
Connections.ProcessBlockTimeoutInvalid	0 이상의 정수 밀리초를 입력하십시오.	Enter an integer number of milliseconds greater than or equal to 0.
Connections.ProcessBlockTimeoutNoCompatible	현재 필터에는 조정 가능한 기존 대기 단계가 없습니다.	The current filter has no adjustable existing wait steps.
Connections.ProcessBlockTimeoutHint	값을 입력하고 변경 미리보기를 확인한 뒤 적용하십시오. 0은 타임아웃을 사용하지 않습니다.	Enter a value and review the changes before applying. Zero disables the timeout.
Connections.ProcessBlockTimeoutReady	모든 대상이 확인되었습니다. 적용 전까지 프로젝트는 변경되지 않습니다.	Every target is validated. The project remains unchanged until Apply.
Connections.ProcessBlockTimeoutNoChanges	모든 대상이 이미 입력한 타임아웃을 사용하고 있습니다.	Every target already uses the entered timeout.
Connections.ProcessBlockTimeoutItemFormat	{0} · {1} · {2:N0} → {3:N0} ms	{0} · {1} · {2:N0} → {3:N0} ms
Connections.ProcessBlockTimeoutRejectedStatus	단계가 미리보기 이후 변경되어 타임아웃 일괄 적용을 중단했습니다.	Batch timeout apply was stopped because a step changed after preview.
Connections.ProcessBlockTimeoutAppliedStatus	관리 대기 단계 {0:N0}개의 타임아웃을 {1:N0} ms로 적용했습니다. 실행 또는 저장은 시작하지 않았습니다.	Applied a {1:N0} ms timeout to {0:N0} managed wait steps without running or saving the project.
Connections.ProcessBlockStep.process-block.load.start	적재 · 이송 시작	Load · Start transport
Connections.ProcessBlockStep.process-block.load.wait-entry	적재 · 진입 센서 대기	Load · Wait entry sensor
Connections.ProcessBlockStep.process-block.load.stop	적재 · 이송 정지	Load · Stop transport
Connections.ProcessBlockStep.process-block.align.move	정렬 · 공정 축 이동	Align · Move process axis
Connections.ProcessBlockStep.process-block.align.wait	정렬 · 공정 축 완료 대기	Align · Wait process axis
Connections.ProcessBlockStep.process-block.process.extend	공정 · 실린더 전진	Process · Extend cylinder
Connections.ProcessBlockStep.process-block.process.wait-extended	공정 · 실린더 전진 완료 대기	Process · Wait cylinder extended
Connections.ProcessBlockStep.process-block.process.retract	공정 · 실린더 후진	Process · Retract cylinder
Connections.ProcessBlockStep.process-block.process.wait-retracted	공정 · 실린더 후진 완료 대기	Process · Wait cylinder retracted
Connections.ProcessBlockStep.process-block.inspect.confirm-position	검사 · 공정 위치 확인	Inspect · Confirm process position
Connections.ProcessBlockStep.process-block.unload.start	배출 · 이송 시작	Unload · Start transport
Connections.ProcessBlockStep.process-block.unload.wait-clear	배출 · 공정 위치 해제 대기	Unload · Wait process position clear
Connections.ProcessBlockStep.process-block.unload.stop	배출 · 이송 정지	Unload · Stop transport
Connections.ProcessBlockNoChangesStatus	선택한 공정 블록에 적용할 누락 연결 또는 단계가 없습니다.	The selected process block has no missing connections or steps to apply.
Connections.ProcessBlockAppliedStatus	{0:N0}개 블록 계획을 적용했습니다. 연결 {1:N0}개와 단계 {2:N0}개를 추가했으며 실행 또는 저장은 시작하지 않았습니다.	Applied a {0:N0}-block plan. Added {1:N0} connections and {2:N0} steps without running or saving the project.
Connections.ProcessBlockEditPreviewTooltip	적재·정렬·공정·검사·배출 블록을 선택하고 추가 또는 삭제할 관리 단계를 적용 전에 보여줍니다.	Select load, align, process, inspect, and unload blocks and preview managed steps to add or remove before applying.
Connections.ProcessBlockEditHint	유지하거나 추가할 블록을 선택하십시오. 선택 해제한 기존 블록은 관리 단계만 삭제하며 장비는 유지합니다. 적용은 실행 또는 저장을 시작하지 않습니다.	Select blocks to keep or add. Clearing an existing block removes only its managed steps and keeps the equipment. Apply does not run or save the project.
Connections.ProcessBlockEditSummaryFormat	연결 추가 {0:N0}개 · 단계 추가 {1:N0}개 · 단계 삭제 {2:N0}개 · 기존 유지 {3:N0}개 · 확인 필요 {4:N0}개	{0:N0} connections to add · {1:N0} steps to add · {2:N0} steps to remove · {3:N0} steps kept · {4:N0} need review
Connections.ProcessBlockEditSummaryWithCustomizedFormat	연결 추가 {0:N0}개 · 단계 추가 {1:N0}개 · 단계 삭제 {2:N0}개 · 기존 유지 {3:N0}개 · 사용자 조정 {4:N0}개 · 충돌 {5:N0}개	{0:N0} connections to add · {1:N0} steps to add · {2:N0} steps to remove · {3:N0} steps kept · {4:N0} customized · {5:N0} conflicts
Connections.ProcessBlockEditSelectionFormat	계획 {0:N0}개 블록 · 현재 {1:N0}개	{0:N0} blocks planned · {1:N0} current
Connections.ProcessBlockEditPlanReady	표시된 추가·삭제 내용을 한 번에 적용합니다.	Apply the shown additions and removals in one operation.
Connections.ProcessBlockEditPlanEmpty	현재 관리 블록이 없습니다. 하나 이상의 블록을 선택하십시오.	There are no current managed blocks. Select at least one block.
Connections.ProcessBlockEditPlanNoChanges	현재 계획과 같습니다. 변경할 블록을 선택하거나 해제하십시오.	This matches the current plan. Select or clear a block to make a change.
Connections.ProcessBlockEditPlanUnavailable	충돌 또는 사용할 수 없는 연결을 먼저 확인하십시오.	Review the conflict or unavailable connection before applying.
Connections.ProcessBlockEditApplyFormat	적용 +연결 {0:N0} · +단계 {1:N0} · -단계 {2:N0}	Apply +{0:N0} links · +{1:N0} steps · -{2:N0} steps
Connections.ProcessBlockEditApplyTooltip	선택한 계획의 누락 연결과 단계를 추가하고 선택 해제한 기존 블록의 관리 단계만 원자적으로 삭제합니다.	Atomically add missing connections and steps for the selected plan and remove only managed steps from cleared existing blocks.
Connections.ProcessBlockEditNoChangesStatus	현재 공정 계획과 동일하여 적용할 변경이 없습니다.	The process plan matches the current project; there are no changes to apply.
Connections.ProcessBlockEditAppliedStatus	{0:N0}개 블록 계획을 적용했습니다. 연결 {1:N0}개와 단계 {2:N0}개를 추가하고 관리 단계 {3:N0}개를 삭제했으며 실행 또는 저장은 시작하지 않았습니다.	Applied a {0:N0}-block plan. Added {1:N0} connections and {2:N0} steps, removed {3:N0} managed steps, and did not run or save the project.
Connections.AddStage	축 + 스테이지	Axis + stage
Connections.AddStageTooltip	새 가상 선형축과 연결된 스테이지를 추가합니다.	Add a new virtual linear axis and its connected stage.
Connections.AddRotaryStage	회전축 + 스테이지	Rotary axis + stage
Connections.AddRotaryStageTooltip	새 가상 회전축과 연결된 회전 스테이지를 추가합니다.	Add a new virtual rotary axis and its connected rotary stage.
Connections.AddSensor	센서	Sensor
Connections.AddSensorTooltip	선택한 스테이지 또는 워크피스를 감지하는 DI 센서를 추가합니다.	Add a DI sensor that detects the selected stage or workpiece.
Connections.AddCylinder	실린더	Cylinder
Connections.AddCylinderTooltip	명령 DO와 확장/복귀 DI가 연결된 실린더를 추가합니다.	Add a cylinder connected to command DO and extended/retracted DI.
Connections.AddConveyor	컨베이어	Conveyor
Connections.AddConveyorTooltip	운전/역방향 DO가 연결된 컨베이어를 추가합니다.	Add a conveyor connected to run and reverse DO.
Connections.AddWorkpiece	워크피스	Workpiece
Connections.AddWorkpieceTooltip	프로젝트의 컨베이어에 연결된 워크피스를 추가합니다.	Add a workpiece connected to a project conveyor.
Connections.SummaryFormat	구성요소 {0}개 · 유효 연결 {1}개 · 시퀀스 사용 {2}건	{0} components · {1} valid connections · {2} sequence uses
Connections.CheckpointCoverageFormat	종료 상태 검증 {0:N0}/{1:N0}단계	End-state checks {0:N0}/{1:N0} steps
Connections.CheckpointCoverageTooltip	드라이런에서 단계 종료 상태를 확인하도록 설정된 단계 수입니다.	Steps configured to validate equipment state at the end of the step during dry run.
Connections.CheckpointTemplatePreview	대표 검증점 구성	Configure representative checks
Connections.CheckpointTemplatePreviewTooltip	연결된 장비와 시퀀스에서 대표 종료 상태 검증점을 찾아 적용 전에 보여줍니다.	Find representative end-state checks from connected equipment and the sequence, then show them before applying.
Connections.CheckpointTemplateTitle	대표 종료 상태 검증점	Representative end-state checks
Connections.CheckpointTemplateHint	기존 검증점은 변경하지 않습니다. 아래 후보를 확인한 뒤 추가할 항목만 한 번에 적용하십시오.	Existing checks are not changed. Review the candidates, then apply only the additions in one action.
Connections.CheckpointTemplateSummaryFormat	추가 {0:N0}개 · 기존 유지 {1:N0}개 · 적용 불가 {2:N0}개	{0:N0} to add · {1:N0} existing kept · {2:N0} unavailable
Connections.CheckpointTemplateApplyFormat	{0:N0}개 적용	Apply {0:N0}
Connections.CheckpointTemplateApply	대표 검증점 적용	Apply representative checks
Connections.CheckpointTemplateApplyTooltip	미리보기에서 추가로 표시된 검증점만 현재 레시피에 적용합니다.	Apply only the checks marked as additions in the preview to the current recipe.
Connections.CheckpointTemplateClose	닫기	Close
Connections.CheckpointTemplateCloseTooltip	변경하지 않고 대표 검증점 미리보기를 닫습니다.	Close the representative-check preview without changing the recipe.
Connections.CheckpointTemplateRole.CylinderExtended	실린더 전진	Cylinder extended
Connections.CheckpointTemplateRole.SensorDetected	공정 센서 감지	Process sensor detected
Connections.CheckpointTemplateRole.AxisIdle	공정 축 정지	Process axis idle
Connections.CheckpointTemplateRole.CylinderRetracted	실린더 후진	Cylinder retracted
Connections.CheckpointTemplateRole.ConveyorStopped	컨베이어 정지	Conveyor stopped
Connections.CheckpointTemplateProposedFormat	추가 · {0} → {1} = {2}	Add · {0} → {1} = {2}
Connections.CheckpointTemplateExistingFormat	기존 유지 · {0} → {1} = {2}	Keep existing · {0} → {1} = {2}
Connections.CheckpointTemplateConflictFormat	적용 안 함 · {0} 단계에 다른 검증점이 있습니다.	Not applied · {0} already has another check.
Connections.CheckpointTemplateUnavailable	적용 안 함 · 연결된 장비 또는 안정된 단계 경계를 찾지 못했습니다.	Not applied · no connected equipment or stable step boundary was found.
Connections.CheckpointTemplateAppliedStatus	대표 종료 상태 검증점 {0:N0}개를 적용했습니다. 저장하면 현재 프로젝트에 유지됩니다.	Applied {0:N0} representative end-state checks. Save to retain them in the current project.
Connections.CheckpointTemplateNoChangesStatus	적용할 새 대표 검증점이 없습니다.	There are no new representative checks to apply.
Connections.ValidationPassed	모든 연결 유효	All connections valid
Connections.ValidationErrors	연결 확인 필요	Check connections
Connections.Valid	유효	Valid
Connections.CheckRequired	확인 필요	Check required
Connections.Behavior	동작 바인딩	Behavior binding
Connections.IoAndTarget	I/O 및 대상	I/O and target
Connections.SequenceUse	시퀀스 사용	Sequence use
Connections.None	연결 없음	No binding
Connections.NotApplicable	런타임 연결 없음	No runtime link
Connections.MissingAxis	축 연결 누락	Missing axis binding
Connections.MissingDevice	장치 연결 누락	Missing device binding
Connections.StaticComponent	정적 구성요소	Static component
Connections.NoSequenceUse	직접 사용하는 단계 없음	No directly linked step
Connections.StageLinkFormat	스테이지 {0} → 축 {1}	Stage {0} → axis {1}
Connections.SensorLinkFormat	DI {0} → 감지 대상 {1}	DI {0} → target {1}
Connections.CylinderLinkFormat	확장 DO {0} · 확장 DI {1} · 복귀 DI {2}	Extend DO {0} · extended DI {1} · retracted DI {2}
Connections.ConveyorLinkFormat	운전 DO {0} · 역방향 DO {1}	Run DO {0} · reverse DO {1}
Connections.WorkpieceLinkFormat	이송 컨베이어 {0}	Carrier conveyor {0}
Connections.CheckReadiness	시뮬레이션 준비 확인	Check simulation readiness
Connections.CheckReadinessTooltip	현재 프로젝트 전체를 컴파일해 실행 가능 여부를 확인하며 시뮬레이션은 시작하지 않습니다.	Compile the current project to check whether it can run without starting simulation.
Connections.ReadinessNotChecked	미확인	Not checked
Connections.ReadinessPassed	실행 준비 완료	Ready to run
Connections.ReadinessFailed	실행 준비 오류	Not ready
Connections.ReadinessNotCheckedDetail	운전 전에 시뮬레이션 준비 확인을 실행하십시오.	Check simulation readiness before Run.
Connections.ReadinessPassedDetail	현재 연결과 시퀀스가 컴파일되었습니다. 이 확인은 시뮬레이션을 시작하지 않습니다.	The current connections and sequence compile successfully. This check does not start simulation.
Connections.ReadinessFailedDetail	실행할 수 없습니다: {0}	Cannot run: {0}
Connections.ReadinessPassedStatus	시뮬레이션 준비 확인을 통과했습니다. 시뮬레이션은 시작되지 않았습니다.	Simulation readiness passed. Simulation was not started.
Connections.ReadinessFailedStatus	시뮬레이션 준비 확인에서 오류가 발견되었습니다.	Simulation readiness found an error.
Connections.PreviewStep	단계 미리보기	Preview step
Connections.PreviewStepTooltip	준비 확인을 통과한 뒤 이 단계만 격리된 고정 스텝 시뮬레이션으로 실행합니다.	After readiness passes, run only this step in an isolated fixed-step simulation.
Connections.PreviewCompleted	미리보기 완료	Preview completed
Connections.PreviewLimitReached	미리보기 제한 도달	Preview limit reached
Connections.PreviewFaulted	미리보기 오류	Preview faulted
Connections.PreviewRejected	미리보기 거절	Preview rejected
Connections.PreviewDetailFormat	{0:N0}/{1:N0}틱 · {2}	{0:N0}/{1:N0} ticks · {2}
Connections.PreviewAxisFormat	위치 {0:0.###} · 상태 {1}	Position {0:0.###} · state {1}
Connections.PreviewSignalFormat	신호 {0} · {1}	Signal {0} · {1}
Connections.PreviewCylinderFormat	명령 {0} · 실린더 {1} · 진행률 {2:P0}	Command {0} · cylinder {1} · progress {2:P0}
Connections.PreviewConveyorFormat	운전 {0} · 방향 {1}	Run {0} · direction {1}
Connections.PreviewSensorFormat	감지 {0}	Detected {0}
Connections.PreviewCompletedStatus	격리된 단계 미리보기가 완료되었습니다. 메인 시뮬레이션은 변경되지 않았습니다.	The isolated step preview completed. The main simulation was unchanged.
Connections.PreviewStoppedStatus	격리된 단계 미리보기가 완료되지 않았습니다. 카드의 결과를 확인하십시오.	The isolated step preview did not complete. Check the result on the card.
Connections.DryRun	전체 레시피 검증	Dry run recipe
Connections.DryRunTooltip	준비 확인을 통과한 현재 레시피 전체를 격리 실행하고 단계별 결과를 표시합니다.	Run the ready recipe in isolation and show its step-by-step result.
Connections.DryRunCompleted	전체 레시피 검증 완료	Recipe dry run completed
Connections.DryRunCompletedWithIssue	분기 오류 후 완료	Completed after routed issue
Connections.DryRunCompletedWithMismatch	기대 상태 불일치로 완료	Completed with expected-state mismatch
Connections.DryRunLimitReached	전체 실행 제한 도달	Recipe dry run limit reached
Connections.DryRunFaulted	전체 레시피 검증 오류	Recipe dry run faulted
Connections.DryRunRejected	전체 레시피 검증 거절	Recipe dry run rejected
Connections.DryRunDetailFormat	{0} · {1:N0}/{2:N0}틱 · 실행 단계 {3:N0}개	{0} · {1:N0}/{2:N0} ticks · {3:N0} steps
Connections.DryRunNoIssue	오류 또는 타임아웃이 관측되지 않았습니다.	No failure or timeout was observed.
Connections.DryRunIssueFormat	최초 문제: {0} · {1:N0}틱 · {2} · {3}	First issue: {0} · tick {1:N0} · {2} · {3}
Connections.DryRunMismatchFormat	최초 상태 불일치: {0} · {1:N0}틱 · {2} · 기대 {3} · 실제 {4}	First state mismatch: {0} · tick {1:N0} · {2} · expected {3} · actual {4}
Connections.DryRunCheckpointFormat	{0}: {1} → {2}	{0}: {1} → {2}
Connections.DryRunFinalStates	최종 장비 상태	Final equipment states
Connections.DryRunTimeline	단계 타임라인	Step timeline
Connections.DryRunOpenStepTooltip	이 실행 단계와 연결된 장비를 강조하고 정확한 시퀀스 단계를 엽니다.	Highlight the connected equipment and open this exact Sequence step.
Connections.DryRunPlaybackOpen	레이아웃에서 상태 보기	View state on layout
Connections.DryRunPlaybackOpenTooltip	이 단계가 끝난 시점의 격리 장비 상태를 읽기 전용 레이아웃에서 봅니다.	View the isolated equipment state at the end of this step on the read-only layout.
Connections.DryRunPlaybackTitleFormat	드라이런 상태 {0}/{1} · {2}	Dry-run state {0}/{1} · {2}
Connections.DryRunPlaybackDetailFormat	읽기 전용 · {0} · 메인 시뮬레이션 변경 없음	Read-only · {0} · main simulation unchanged
Connections.DryRunPlaybackPrevious	이전	Previous
Connections.DryRunPlaybackNext	다음	Next
Connections.DryRunPlaybackExit	재생 종료	Exit playback
Connections.DryRunPlaybackStatus	격리된 단계 종료 상태를 레이아웃에 표시했습니다. 메인 시뮬레이션은 변경되지 않았습니다.	The isolated step-end state is shown on the layout. The main simulation was unchanged.
Connections.DryRunTickRangeFormat	{0:N0}–{1:N0}틱	{0:N0}–{1:N0} ticks
Connections.DryRunAxisStateFormat	축 {0}: {1:0.###} · {2}	Axis {0}: {1:0.###} · {2}
Connections.DryRunCylinderStateFormat	실린더 {0}: {1} · {2:P0}	Cylinder {0}: {1} · {2:P0}
Connections.DryRunConveyorStateFormat	컨베이어 {0}: {1} · {2}	Conveyor {0}: {1} · {2}
Connections.DryRunSensorStateFormat	센서 {0}: {1}	Sensor {0}: {1}
Connections.DryRunWorkpieceStateFormat	워크피스 {0}: X {1:0.##} · Y {2:0.##}	Workpiece {0}: X {1:0.##} · Y {2:0.##}
Connections.DryRunLoadLockStateFormat	로드락 {0}: {1} · 진공 준비 {2} · 대기압 준비 {3} · 외측 도어 {4} · 내측 도어 {5}	Load lock {0}: {1} · vacuum ready {2} · atmosphere ready {3} · outer door {4} · inner door {5}
Connections.LoadLockState.Atmosphere	대기압	Atmosphere
Connections.LoadLockState.PumpingDown	펌프다운 중	Pumping down
Connections.LoadLockState.Vacuum	진공	Vacuum
Connections.LoadLockState.Venting	벤트 중	Venting
Connections.LoadLockState.InterlockFault	인터록 결함	Interlock fault
Connections.LoadLockReady	준비	Ready
Connections.LoadLockNotReady	미준비	Not ready
Connections.LoadLockDoorAllowed	허용	Allowed
Connections.LoadLockDoorBlocked	차단	Blocked
Connections.DryRunWaferHandlerStateFormat	웨이퍼 핸들러 {0}: {1} · H {2:0.###} · V {3:0.###} · 게이트 {4}	Wafer handler {0}: {1} · H {2:0.###} · V {3:0.###} · gate {4}
Connections.WaferHandlerState.Source	소스 소유	Source owns wafer
Connections.WaferHandlerState.Handler	핸들러 소유	Handler owns wafer
Connections.WaferHandlerState.Destination	목적지 소유	Destination owns wafer
Connections.WaferHandlerState.InterlockFault	인터록 결함	Interlock fault
Connections.WaferHandlerGateOpen	열림	Open
Connections.WaferHandlerGateClosed	닫힘	Closed
Connections.DryRunInspectionSorterStateFormat	검사 분류기 {0}: {1} · 판정 {2}	Inspection sorter {0}: {1} · decision {2}
Connections.InspectionSortState.AwaitingDecision	판정 대기	Awaiting decision
Connections.InspectionSortState.PassReady	PASS 경로 준비	PASS route ready
Connections.InspectionSortState.NgReady	NG 경로 준비	NG route ready
Connections.InspectionSortState.PassRouted	PASS 경로 선택	PASS route selected
Connections.InspectionSortState.NgRouted	NG 경로 선택	NG route selected
Connections.InspectionSortState.InterlockFault	인터록 결함	Interlock fault
Connections.InspectionSortDecision.Awaiting	대기	Awaiting
Connections.InspectionSortDecision.Pass	PASS	PASS
Connections.InspectionSortDecision.Fail	NG	NG
Connections.DryRunInspectionHandoffStateFormat	검사 인계 {0}: {1} · 판정 {2} · 소재 {3} · 결과 {4}	Inspection handoff {0}: {1} · decision {2} · material {3} · result {4}
Connections.InspectionHandoffState.AwaitingMaterial	소재 대기	Awaiting material
Connections.InspectionHandoffState.Ready	검사 준비	Ready for inspection
Connections.InspectionHandoffState.Inspecting	검사 중	Inspecting
Connections.InspectionHandoffState.ResultAvailable	결과 대기	Result available
Connections.InspectionHandoffState.Complete	인계 완료	Handoff complete
Connections.InspectionHandoffState.InterlockFault	인터록 결함	Interlock fault
Connections.DryRunPrealignerStateFormat	프리얼라이너 {0}: {1} · 회전 {2:0.###}° / 목표 {3:0.###}° · 웨이퍼 {4}	Pre-aligner {0}: {1} · rotary {2:0.###}° / target {3:0.###}° · wafer {4}
Connections.PrealignerState.AwaitingWafer	웨이퍼 대기	Awaiting wafer
Connections.PrealignerState.AwaitingClamp	클램프 대기	Awaiting clamp
Connections.PrealignerState.Ready	정렬 준비	Ready to align
Connections.PrealignerState.Aligning	정렬 중	Aligning
Connections.PrealignerState.Aligned	정렬 완료	Aligned
Connections.PrealignerState.Released	해제 완료	Released
Connections.PrealignerState.InterlockFault	인터록 결함	Interlock fault
Connections.PrealignerWaferPresent	있음	present
Connections.PrealignerWaferAbsent	없음	absent
Connections.InspectionMaterialPresent	감지	Present
Connections.InspectionMaterialAbsent	없음	Absent
Connections.InspectionResultAccepted	수락	Accepted
Connections.InspectionResultPending	대기	Pending
Connections.DryRunOhtHandoffStateFormat	OHT 인계 {0}: {1} · 경로 {2} · 차량 {3} · 로드포트 {4}	OHT handoff {0}: {1} · route {2} · vehicle {3} · load port {4}
Connections.OhtHandoffState.Vehicle	차량 소유	Vehicle owns carrier
Connections.OhtHandoffState.Ready	인계 준비	Ready to hand off
Connections.OhtHandoffState.Transferring	인계 중	Transferring
Connections.OhtHandoffState.LoadPort	로드포트 소유	Load port owns carrier
Connections.OhtHandoffState.InterlockFault	인터록 결함	Interlock fault
Connections.OhtRouteAvailable	가용	Available
Connections.OhtRouteBlocked	차단	Blocked
Connections.OhtVehicleDocked	도킹됨	Docked
Connections.OhtVehicleAway	미도킹	Not docked
Connections.OhtLoadPortReady	준비	Ready
Connections.OhtLoadPortNotReady	미준비	Not ready
Connections.DryRunCompletedStatus	격리된 전체 레시피 검증이 완료되었습니다. 메인 시뮬레이션은 변경되지 않았습니다.	The isolated recipe dry run completed. The main simulation was unchanged.
Connections.DryRunStoppedStatus	격리된 전체 레시피 검증이 완료되지 않았습니다. 결과의 최초 문제를 확인하십시오.	The isolated recipe dry run did not complete. Check its first issue.
Connections.OpenStep	단계 열기	Open step
Connections.OpenStepTooltip	이 연결을 사용하는 첫 번째 시퀀스 단계를 선택합니다.	Select the first sequence step that uses this connection.
Connections.OpenStepStatus	시퀀스 단계 '{0}'을(를) 열었습니다.	Opened sequence step '{0}'.
Connections.OpenStepRejectedStatus	연결된 시퀀스 단계를 찾을 수 없습니다.	The linked sequence step could not be found.
Connections.ReturnToProcessPlan	공정 계획으로 돌아가기	Return to process plan
Connections.ReturnToProcessPlanTooltip	열어 둔 공정 계획의 같은 단계 카드로 돌아갑니다.	Return to the same step card in the open process plan.
Connections.ReturnToProcessPlanHint	이 단계를 조정한 뒤 같은 공정 카드 위치로 돌아갑니다.	Return to the same process card after tuning this step.
Connections.ReturnToProcessPlanStatus	공정 계획의 '{0}' 단계로 돌아왔습니다.	Returned to process plan step '{0}'.
Connections.ProcessPlanReviewPrevious	이전 단계	Previous step
Connections.ProcessPlanReviewPreviousTooltip	현재 필터의 이전 관리 단계를 Sequence에서 엽니다.	Open the previous managed step from the current filter in Sequence.
Connections.ProcessPlanReviewNext	다음 단계	Next step
Connections.ProcessPlanReviewNextTooltip	현재 필터의 다음 관리 단계를 Sequence에서 엽니다.	Open the next managed step from the current filter in Sequence.
Connections.ProcessPlanReviewPositionFormat	검토 {0:N0}/{1:N0}	Review {0:N0}/{1:N0}
Connections.ProcessPlanReviewStatus	현재 필터의 {0:N0}/{1:N0} '{2}' 단계를 열었습니다.	Opened filtered step {0:N0}/{1:N0}, '{2}'.
Connections.AddStep	대상 단계 추가	Add target step
Connections.AddStepTooltip	현재 시퀀스의 완료 단계 앞에 이 연결을 사용하는 기본 단계를 추가합니다.	Add a default step using this connection before the current sequence's Complete step.
Connections.AddStepStatus	대상 {0}의 시퀀스 단계를 추가했습니다.	Added a sequence step for target {0}.
Connections.AddStepRejectedStatus	시퀀스 단계를 추가하지 못했습니다: {0}	Could not add the sequence step: {0}
Shell.Paste	붙여넣기	Paste
Shell.NoSequenceConfigured	시퀀스가 설정되지 않았습니다	No sequence configured
Sequence.Complete	완료	Complete
UserText.sequence.auto-transfer-cycle.name	자동 이송 사이클	Automatic Transfer Cycle
UserText.sequence.auto-transfer-cycle.step.cycle-active-on.name	사이클 활성화	Cycle Active On
UserText.sequence.auto-transfer-cycle.step.extend-stopper.name	스테이션 스토퍼 전진	Extend Station Stopper
UserText.sequence.auto-transfer-cycle.step.wait-stopper-extended.name	스토퍼 전진 대기	Wait Stopper Extended
UserText.sequence.auto-transfer-cycle.step.conveyor-forward.name	컨베이어 정방향 선택	Select Conveyor Forward
UserText.sequence.auto-transfer-cycle.step.conveyor-run-forward.name	컨베이어 정방향 운전	Run Conveyor Forward
UserText.sequence.auto-transfer-cycle.step.move-station.name	스테이션 위치로 이송	Move Stage to Station
UserText.sequence.auto-transfer-cycle.step.wait-station-position.name	스테이션 위치 도달 대기	Wait Stage at Station
UserText.sequence.auto-transfer-cycle.step.wait-station-sensor.name	스테이션 센서 대기	Wait Station Sensor
UserText.sequence.auto-transfer-cycle.step.conveyor-stop-at-station.name	스테이션에서 컨베이어 정지	Stop Conveyor at Station
UserText.sequence.auto-transfer-cycle.step.station-ready-on.name	스테이션 준비 ON	Station Ready On
UserText.sequence.auto-transfer-cycle.step.move-home.name	원점으로 복귀	Return Stage Home
UserText.sequence.auto-transfer-cycle.step.wait-home.name	원점 도달 대기	Wait Stage Home
UserText.sequence.auto-transfer-cycle.step.station-ready-off.name	스테이션 준비 OFF	Station Ready Off
UserText.sequence.auto-transfer-cycle.step.retract-stopper.name	스테이션 스토퍼 후진	Retract Station Stopper
UserText.sequence.auto-transfer-cycle.step.wait-stopper-retracted.name	스토퍼 후진 대기	Wait Stopper Retracted
UserText.sequence.auto-transfer-cycle.step.conveyor-reverse.name	컨베이어 역방향 선택	Select Conveyor Reverse
UserText.sequence.auto-transfer-cycle.step.conveyor-run-reverse.name	컨베이어 역방향 운전	Run Conveyor Reverse
UserText.sequence.auto-transfer-cycle.step.wait-conveyor-home.name	워크피스 원점 도달 대기	Wait Workpiece at Conveyor Home
UserText.sequence.auto-transfer-cycle.step.conveyor-stop-home.name	원점에서 컨베이어 정지	Stop Conveyor at Home
UserText.sequence.auto-transfer-cycle.step.conveyor-direction-home.name	컨베이어 정방향 복원	Restore Conveyor Forward Direction
UserText.sequence.auto-transfer-cycle.step.cycle-active-off.name	사이클 비활성화	Cycle Active Off
Shell.File	파일	File
Shell.Simulation	시뮬레이션	Simulation
Shell.New	새 프로젝트	New
Shell.Open	열기	Open
Shell.Save	저장	Save
Shell.SaveAs	다른 이름으로 저장	Save As
Shell.Exit	종료	Exit
Shell.Design	설계	Design
Shell.Run	운전	Run
Shell.SimulationOn	시뮬레이션 시작	Simulation ON
Shell.Pause	일시정지	Pause
Shell.Step	단계 실행	Step
Shell.Reset	초기화	Reset
Shell.CycleStart	사이클 시작	Cycle Start
Shell.Language	언어	Language
Shell.LanguageTooltip	표시 언어를 선택합니다.	Select the display language.
Shell.RunSummary	운전 요약	Run Summary
Shell.AddComponentHint	Main Cell에 지원 장비를 추가합니다.	Add a supported component to Main Cell
Shell.LibraryPlacementHint	항목을 Main Layout에 끌어 배치하거나 클릭하여 추가합니다.	Drag an item onto Main Layout to place it, or click to add it
Layout.Library.Category.Actuators	액추에이터	Actuators
Layout.Library.Category.Material	소재	Material
Layout.Library.Category.Mechanics	기구	Mechanics
Layout.Library.Category.Motion	모션	Motion
Layout.Library.Category.Sensors	센서	Sensors
Layout.Library.Category.Transport	이송	Transport
Layout.Library.Conveyor.Description	운전 및 방향 출력에 따라 연결된 워크피스를 일정 속도로 이송합니다.	Run and direction outputs move bound workpieces at fixed speed
Layout.Library.Conveyor.Name	컨베이어	Conveyor
Layout.Library.DigitalSensor.Description	감지 영역의 상태를 시뮬레이션 디지털 입력에 기록합니다.	Detection area that writes a simulated digital input
Layout.Library.DigitalSensor.Name	디지털 센서	Digital Sensor
Layout.Library.LinearStage.Description	모션 축 위치를 따라 움직이는 스테이지입니다.	Axis-bound stage whose runtime pose follows motion
Layout.Library.LinearStage.Name	리니어 스테이지	Linear Stage
Layout.Library.MachineFrame.Description	장비 셀의 고정 구조와 시각적 경계를 정의합니다.	Static cell structure and visual boundary
Layout.Library.MachineFrame.Name	머신 프레임	Machine Frame
Layout.Library.PneumaticCylinder.Description	출력으로 동작하며 종단 위치 피드백을 결정적으로 제공합니다.	Output-driven actuator with deterministic end-position feedback
Layout.Library.PneumaticCylinder.Name	공압 실린더	Pneumatic Cylinder
Layout.Library.RotaryStage.Description	모션 축 각도를 따라 회전하는 스테이지입니다.	Rotary-axis stage whose runtime angle follows motion
Layout.Library.RotaryStage.Name	로터리 스테이지	Rotary Stage
